date,igw,wte_ft,head_ft_1,head_ft_2,head_ft_2,head_ft_3,head_ft_4
1973-09-30,3781,213.27,213.27,147.42,147.42,144.01,144.01
1973-10-31,3781,217.9219,217.9219,215.3323,215.3323,214.6981,214.3886
1973-11-30,3781,245.5171,245.5171,243.0403,243.0403,242.4121,242.1122
1973-12-31,3781,273.5877,273.5877,269.7963,269.7963,268.8096,268.3438
1974-01-31,3781,307.6963,307.6963,299.8612,299.8612,297.7846,296.8329
1974-02-28,3781,317.7663,317.7663,309.2484,309.2484,306.9939,305.9694
1974-03-31,3781,324.0983,324.0983,315.2395,315.2395,312.8971,311.8347
1974-04-30,3781,323.5498,323.5498,314.2713,314.2713,312.0731,311.0778
1974-05-31,3781,322.4115,322.4115,312.4357,312.4357,310.3402,309.3917
1974-06-30,3781,317.7789,317.7789,308.5637,308.5637,306.676,305.8211
1974-07-31,3781,312.2789,312.2789,303.9557,303.9557,302.2498,301.4771
1974-08-31,3781,306.3324,306.3324,298.5843,298.5843,297.0441,296.3466
1974-09-30,3781,303.298,303.298,297.0704,297.0704,295.6274,294.9722
1974-10-31,3781,301.4955,301.4955,296.0364,296.0364,294.6881,294.0749
1974-11-30,3781,300.8528,300.8528,295.8091,295.8091,294.5303,293.9477
1974-12-31,3781,302.1804,302.1804,297.3258,297.3258,296.0808,295.5124
1975-01-31,3781,304.8462,304.8462,300.193,300.193,298.9508,298.3824
1975-02-28,3781,316.125,316.125,309.9438,309.9438,308.3053,307.5586
1975-03-31,3781,323.4236,323.4236,316.4033,316.4033,314.5469,313.7042
1975-04-30,3781,322.9082,322.9082,315.0875,315.0875,313.3113,312.5071
1975-05-31,3781,322.7731,322.7731,313.7924,313.7924,312.0374,311.243
1975-06-30,3781,320.3364,320.3364,311.712,311.712,310.0456,309.2908
1975-07-31,3781,315.0588,315.0588,307.0636,307.0636,305.5571,304.875
1975-08-31,3781,310.4533,310.4533,303.2505,303.2505,301.8614,301.2319
1975-09-30,3781,307.8891,307.8891,302.1666,302.1666,300.8544,300.2583
1975-10-31,3781,307.6136,307.6136,302.6928,302.6928,301.4362,300.8639
1975-11-30,3781,308.366,308.366,303.5989,303.5989,302.3827,301.8275
1975-12-31,3781,309.6822,309.6822,304.9462,304.9462,303.7257,303.1683
1976-01-31,3781,310.5758,310.5758,305.954,305.954,304.7228,304.1608
1976-02-29,3781,311.9526,311.9526,307.198,307.198,305.9327,305.3556
1976-03-31,3781,314.8482,314.8482,309.7049,309.7049,308.3394,307.7177
