LITH_ID,WELLINFOID,LOCAL_ID1,LOCAL_ID2,LOCAL_ID3,X_CATEALEALBERS_m,Y_CATEALEALBERS_m,GROUND_SURFACE_ELEVATION_m,LITH_TOP_DEPTH_m,LITH_BOT_DEPTH_m,LITH_TRANSCRIPTION,RAW_DESCRIPTION,LITH_MAJOR1,LITH_MAJOR2,LITH_MINOR1,LITH_MINOR2,TEXTURE,TEXTURE_REFINED,USCS_SYMBOL,USCS_DESCRIPTION,COLOR,NOTES,DATA_SOURCE,DESCRIPTOR,QAQC,GROUND_SURFACE_ELEVATION_ft,LITH_TOP_DEPTH_ft,LITH_BOT_DEPTH_ft
30810,2222,| e0248591,,,-153261.3825,182425.6662,49.325784,0.0,5.498592,gray dirt with gravel and cobbles,0,soil,,gravel,cobbles,soil,soil,,,gray,,Local Agencies,,,161.83000517856,0.0,18.04000057728
30811,2222,| e0248591,,,-153261.3825,182425.6662,49.325784,5.498592,6.998208,large gravel with sand and cobbles,0,gravel,,sand,cobbles,coarse,coarse,,,,,Local Agencies,,,161.83000517856,18.04000057728,22.96000073472
30812,2222,| e0248591,,,-153261.3825,182425.6662,49.325784,6.998208,10.3973376,loam dirt and gravel,0,soil,gravel,,,soil,soil,,,,,Local Agencies,,,161.83000517856,22.96000073472,34.112001091584
30813,2222,| e0248591,,,-153261.3825,182425.6662,49.325784,10.3973376,13.6964928,yellow clay,0,clay,,,,fine,fine,,,yellow,,Local Agencies,,,161.83000517856,34.112001091584,44.936001437952
30814,2222,| e0248591,,,-153261.3825,182425.6662,49.325784,13.6964928,16.495776,fine sand,0,sand,,,,coarse,coarse,,,,,Local Agencies,fine,,161.83000517856,44.936001437952,54.12000173184
30815,2222,| e0248591,,,-153261.3825,182425.6662,49.325784,16.495776,18.2953152,gravel,0,gravel,,,,coarse,coarse,,,,,Local Agencies,,,161.83000517856,54.12000173184,60.024001920768
30816,2222,| e0248591,,,-153261.3825,182425.6662,49.325784,18.2953152,24.3937536,expanding clay,0,clay,,,,fine,fine,,,,,Local Agencies,,,161.83000517856,60.024001920768,80.032002561024
30817,2222,| e0248591,,,-153261.3825,182425.6662,49.325784,24.3937536,30.492192,fine sand giving away to gravel and cobbles,0,sand,gravel,cobbles,,coarse,coarse,,,,,Local Agencies,fine,,161.83000517856,80.032002561024,100.04000320128
30818,2222,| e0248591,,,-153261.3825,182425.6662,49.325784,30.492192,52.3865856,layered volcanic rock,0,rock - volcanic,rock - undifferentiated,,,rock,rock,,,,,Local Agencies,,,161.83000517856,100.04000320128,171.872005499904
30819,2222,| e0248591,,,-153261.3825,182425.6662,49.325784,52.3865856,54.8859456,cobbles,0,cobbles,,,,coarse,coarse,,,,,Local Agencies,,,161.83000517856,171.872005499904,180.072005762304
35925,2611,| 1093007,,,-152652.576,179957.192,43.056048,0.0,1.499616,Adobe,0,clay,,,,fine,fine,,,,,Local Agencies,,,141.26000452032,0.0,4.9200001574400005
35926,2611,| 1093007,,,-152652.576,179957.192,43.056048,1.499616,9.0976704,Brown Clay,0,clay,,,,fine,fine,,,brown,,Local Agencies,,,141.26000452032,4.9200001574400005,29.848000955136
35927,2611,| 1093007,,,-152652.576,179957.192,43.056048,9.0976704,10.6972608,Clay & Gravel,0,clay,gravel,,,fine,fine with coarse,,,,,Local Agencies,,,141.26000452032,29.848000955136,35.096001123072
35928,2611,| 1093007,,,-152652.576,179957.192,43.056048,10.6972608,33.491424,Brown Clay,0,clay,,,,fine,fine,,,brown,,Local Agencies,,,141.26000452032,35.096001123072,109.88000351616
35929,2611,| 1093007,,,-152652.576,179957.192,43.056048,33.491424,36.5906304,Sandy Brown Clay,0,clay,sand,,,fine,fine with coarse,,,brown,,Local Agencies,,,141.26000452032,109.88000351616,120.048003841536
35930,2611,| 1093007,,,-152652.576,179957.192,43.056048,36.5906304,54.8859456,Brown Clay,0,clay,,,,fine,fine,,,brown,,Local Agencies,,,141.26000452032,120.048003841536,180.072005762304
35931,2611,| 1093007,,,-152652.576,179957.192,43.056048,54.8859456,56.3855616,Gravel,0,gravel,,,,coarse,coarse,,,,,Local Agencies,,,141.26000452032,180.072005762304,184.992005919744
85675,6480,BUTTE CREEK,,,-153096.8467,177744.3168,39.937944,0.0,2.4384,CLAY,1,clay,,,,fine,fine,,,,,DWR: OSWCR: Geologic Logs - Free Form,,,131.03000419296,0.0,8.000000256
85676,6480,BUTTE CREEK,,,-153096.8467,177744.3168,39.937944,2.4384,10.0584,COBBLE,1,cobbles,,,,coarse,coarse,,,,,DWR: OSWCR: Geologic Logs - Free Form,,,131.03000419296,8.000000256,33.000001056
85677,6480,BUTTE CREEK,,,-153096.8467,177744.3168,39.937944,10.0584,16.764,CLAY,1,clay,,,,fine,fine,,,,,DWR: OSWCR: Geologic Logs - Free Form,,,131.03000419296,33.000001056,55.000001759999996
85678,6480,BUTTE CREEK,,,-153096.8467,177744.3168,39.937944,16.764,19.812,GRAVEL,1,gravel,,,,coarse,coarse,,,,,DWR: OSWCR: Geologic Logs - Free Form,,,131.03000419296,55.000001759999996,65.00000208
