LITH_ID,WELLINFOID,LOCAL_ID1,LOCAL_ID2,LOCAL_ID3,X_CATEALEALBERS_m,Y_CATEALEALBERS_m,GROUND_SURFACE_ELEVATION_m,LITH_TOP_DEPTH_m,LITH_BOT_DEPTH_m,LITH_TRANSCRIPTION,RAW_DESCRIPTION,LITH_MAJOR1,LITH_MAJOR2,LITH_MINOR1,LITH_MINOR2,TEXTURE,TEXTURE_REFINED,USCS_SYMBOL,USCS_DESCRIPTION,COLOR,NOTES,DATA_SOURCE,DESCRIPTOR,QAQC,GROUND_SURFACE_ELEVATION_ft,LITH_TOP_DEPTH_ft,LITH_BOT_DEPTH_ft
2098,142,| Pelger Road 1700 - North Well,-8886,,-158532.694,106364.9418,11.84148,0.0,6.096,Loamy Clay,0,clay,,,,fine,fine,,,,,Local Agencies,,,38.850001243200005,0.0,20.00000064
2099,142,| Pelger Road 1700 - North Well,-8886,,-158532.694,106364.9418,11.84148,6.096,9.144,Clay,0,clay,,,,fine,fine,,,,,Local Agencies,,,38.850001243200005,20.00000064,30.00000096
2100,142,| Pelger Road 1700 - North Well,-8886,,-158532.694,106364.9418,11.84148,9.144,15.24,Gravelly Sand,0,sand,gravel,,,coarse,coarse,,,,,Local Agencies,,,38.850001243200005,30.00000096,50.0000016
2101,142,| Pelger Road 1700 - North Well,-8886,,-158532.694,106364.9418,11.84148,15.24,42.672,Sandy Clay,0,clay,sand,,,fine,fine with coarse,,,,,Local Agencies,,,38.850001243200005,50.0000016,140.00000448
2102,142,| Pelger Road 1700 - North Well,-8886,,-158532.694,106364.9418,11.84148,42.672,51.816,Sand,0,sand,,,,coarse,coarse,,,,,Local Agencies,,,38.850001243200005,140.00000448,170.00000544
2103,142,| Pelger Road 1700 - North Well,-8886,,-158532.694,106364.9418,11.84148,51.816,71.628,Sandy Clay,0,clay,sand,,,fine,fine with coarse,,,,,Local Agencies,,,38.850001243200005,170.00000544,235.00000752
2104,142,| Pelger Road 1700 - North Well,-8886,,-158532.694,106364.9418,11.84148,71.628,77.724,Sandy Gravel,0,gravel,sand,,,coarse,coarse,,,,,Local Agencies,,,38.850001243200005,235.00000752,255.00000816000002
2105,142,| Pelger Road 1700 - North Well,-8886,,-158532.694,106364.9418,11.84148,77.724,100.584,Clay,0,clay,,,,fine,fine,,,,,Local Agencies,,,38.850001243200005,255.00000816000002,330.00001056
2106,142,| Pelger Road 1700 - North Well,-8886,,-158532.694,106364.9418,11.84148,100.584,103.632,Sand,0,sand,,,,coarse,coarse,,,,,Local Agencies,,,38.850001243200005,330.00001056,340.00001088
2107,142,| Pelger Road 1700 - North Well,-8886,,-158532.694,106364.9418,11.84148,103.632,149.352,Clayey Sand,0,sand,clay,,,coarse,coarse with fine,,,,,Local Agencies,,,38.850001243200005,340.00001088,490.00001568
